"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-03","5.4",",,W",,,"0.0","T,,W,2400","0.0","T,,W,","0.0",",,W,","-0.2","H,,S","2.8",",,W","-2.7",",,W","  320",",,W","  320",",,W","13.0",",,W","16.1",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-04","5.7",",,W",,,"3.3",",,W,2400","36.0",",,W,","30.0",",,W,","0.7","H,,S","3.9",",,W","-1.0",",,W","   20",",,W","   50",",,W","10.3",",,W","13.0",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-05","4.1",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0","T,,W,","1.7","H,,S","5.6",",,W","-1.6",",,W","  360",",,W","   10",",,W","8.1",",,W","10.3",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-06","3.0",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","2.7","H,,S","7.2",",,W","-0.5",",,W","  240",",,W","   20",",,W","5.8",",,W","9.4",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-07","5.5",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","5.3","H,,S","11.7",",,W","1.7",",,W","  190",",,W","  190",",,W","10.3",",,W","12.5",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-08","3.0",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","10.5","H,,S","16.1",",,W","4.4",",,W","  120",",,W","  140",",,W","6.7",",,W","7.6",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-09","2.4",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","9.8","H,,S","16.7",",,W","5.0",",,W","  230",",,W","  220",",,W","6.3",",,W","7.6",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-10","2.8",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","14.8","H,,S","21.1",",,W","11.7",",,W","  300",",,W","  310",",,W","5.8",",,W","6.7",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-11","5.5",",,W",,,"0.5",",,W,2400","0.0",",,W,","0.0",",,W,","16.3","H,,S","20.0",",,W","10.0",",,W","  330",",,W","  330",",,W","12.5",",,W","16.1",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-12","3.8",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","9.4","H,,S","12.2",",,W","4.4",",,W","  240",",,W","  240",",,W","7.6",",,W","9.4",",,W"
